,identifier,pollster:id,link,start_date,end_date,published_date,population,sponsor,method,n,area,done_by_x,notes_x,,question:identifier,poll:identifier,choice:id,topic_id,value_x,done_by_y,notes_y,start_date_date,end_date_date,middle_date_date_x,middle_date,middle_date_date_y,value_y
39,2018-04,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4600/f9/pv180427.pdf,2018-04-07,2018-04-19,2018-04-27,,CVVM,,,ČR,Michal Škop,,,model,2018-04,ANO,model psp,0.29,Michal Škop,,2018-04-07,2018-04-19,2018-04-13,2018-04-13,2018-04-13,0.3045843973162413
40,2018-04,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4600/f9/pv180427.pdf,2018-04-07,2018-04-19,2018-04-27,,CVVM,,,ČR,Michal Škop,,,model,2018-04,ČSSD,model psp,0.115,Michal Škop,,2018-04-07,2018-04-19,2018-04-13,2018-04-13,2018-04-13,0.08917273870299049
41,2018-04,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4600/f9/pv180427.pdf,2018-04-07,2018-04-19,2018-04-27,,CVVM,,,ČR,Michal Škop,,,model,2018-04,KSČM,model psp,0.1,Michal Škop,,2018-04-07,2018-04-19,2018-04-13,2018-04-13,2018-04-13,0.08659038537273801
42,2018-04,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4600/f9/pv180427.pdf,2018-04-07,2018-04-19,2018-04-27,,CVVM,,,ČR,Michal Škop,,,model,2018-04,ODS,model psp,0.135,Michal Škop,,2018-04-07,2018-04-19,2018-04-13,2018-04-13,2018-04-13,0.13633282737949984
43,2018-04,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4600/f9/pv180427.pdf,2018-04-07,2018-04-19,2018-04-27,,CVVM,,,ČR,Michal Škop,,,model,2018-04,TOP 09,model psp,0.045,Michal Škop,,2018-04-07,2018-04-19,2018-04-13,2018-04-13,2018-04-13,0.044947157826125766
44,2018-04,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4600/f9/pv180427.pdf,2018-04-07,2018-04-19,2018-04-27,,CVVM,,,ČR,Michal Škop,,,model,2018-04,KDU-ČSL,model psp,0.065,Michal Škop,,2018-04-07,2018-04-19,2018-04-13,2018-04-13,2018-04-13,0.05326794054868172
45,2018-04,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4600/f9/pv180427.pdf,2018-04-07,2018-04-19,2018-04-27,,CVVM,,,ČR,Michal Škop,,,model,2018-04,Piráti,model psp,0.125,Michal Škop,,2018-04-07,2018-04-19,2018-04-13,2018-04-13,2018-04-13,0.12691032180186507
46,2018-04,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4600/f9/pv180427.pdf,2018-04-07,2018-04-19,2018-04-27,,CVVM,,,ČR,Michal Škop,,,model,2018-04,SPD,model psp,0.075,Michal Škop,,2018-04-07,2018-04-19,2018-04-13,2018-04-13,2018-04-13,0.08077825041308848
47,2018-04,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4600/f9/pv180427.pdf,2018-04-07,2018-04-19,2018-04-27,,CVVM,,,ČR,Michal Škop,,,model,2018-04,STAN,model psp,0.03,Michal Škop,,2018-04-07,2018-04-19,2018-04-13,2018-04-13,2018-04-13,0.043590747636545406
48,2018-04,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4600/f9/pv180427.pdf,2018-04-07,2018-04-19,2018-04-27,,CVVM,,,ČR,Michal Škop,,,model,2018-04,Zelení,model psp,0.01,Michal Škop,,2018-04-07,2018-04-19,2018-04-13,2018-04-13,2018-04-13,0.012843066393459862
