,identifier,pollster:id,link,start_date,end_date,published_date,population,sponsor,method,n,area,done_by_x,notes_x,middle_date,,question:identifier,poll:identifier,choice:id,topic_id,value_x,done_by_y,notes_y,start_date_date,end_date_date,middle_date_date_x,middle_date_date_y,value_y
37,2021-02,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,,2021-02-24,,model,2021-02,KDU-ČSL,model psp,0.045,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.041214145272807555
38,2021-02,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,,2021-02-24,,model,2021-02,STAN,model psp,0.13,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.11983903288475632
39,2021-02,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,,2021-02-24,,model,2021-02,TOP 09,model psp,0.055,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.05449576760909927
40,2021-02_b,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,"jedná se o ten samý průzkum jako 2021-02, ale zkoumaly 2 různé modely",2021-02-24,,model,2021-02_b,Piráti+STAN,model psp,0.34,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.2637287560849706
41,2021-02_b,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,"jedná se o ten samý průzkum jako 2021-02, ale zkoumaly 2 různé modely",2021-02-24,,model,2021-02_b,ANO,model psp,0.22,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.23936805134827385
42,2021-02_b,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,"jedná se o ten samý průzkum jako 2021-02, ale zkoumaly 2 různé modely",2021-02-24,,model,2021-02_b,SPOLU,model psp,0.175,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.1862884978644242
43,2021-02_b,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,"jedná se o ten samý průzkum jako 2021-02, ale zkoumaly 2 různé modely",2021-02-24,,model,2021-02_b,SPD,model psp,0.11,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.10929275545288189
44,2021-02_b,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,"jedná se o ten samý průzkum jako 2021-02, ale zkoumaly 2 různé modely",2021-02-24,,model,2021-02_b,KSČM,model psp,0.055,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.053698721072367395
45,2021-02_b,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,"jedná se o ten samý průzkum jako 2021-02, ale zkoumaly 2 různé modely",2021-02-24,,model,2021-02_b,ČSSD,model psp,0.045,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.04900921049558475
46,2021-03,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_03_v03MK.pdf,2021-03-01,2021-03-29,2021-03-30,,,,1013,ČR,Michal Škop,,2021-03-15,,model,2021-03,ANO,model psp,0.245,Michal Škop,,2021-03-01,2021-03-29,2021-03-15,2021-03-15,0.23516500257741565
47,2021-03,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_03_v03MK.pdf,2021-03-01,2021-03-29,2021-03-30,,,,1013,ČR,Michal Škop,,2021-03-15,,model,2021-03,Piráti+STAN,model psp,0.275,Michal Škop,,2021-03-01,2021-03-29,2021-03-15,2021-03-15,0.26369472005743966
48,2021-03,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_03_v03MK.pdf,2021-03-01,2021-03-29,2021-03-30,,,,1013,ČR,Michal Škop,,2021-03-15,,model,2021-03,SPOLU,model psp,0.175,Michal Škop,,2021-03-01,2021-03-29,2021-03-15,2021-03-15,0.18529314889150872
49,2021-03,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_03_v03MK.pdf,2021-03-01,2021-03-29,2021-03-30,,,,1013,ČR,Michal Škop,,2021-03-15,,model,2021-03,SPD,model psp,0.1,Michal Škop,,2021-03-01,2021-03-29,2021-03-15,2021-03-15,0.11199884649157371
50,2021-03,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_03_v03MK.pdf,2021-03-01,2021-03-29,2021-03-30,,,,1013,ČR,Michal Škop,,2021-03-15,,model,2021-03,ČSSD,model psp,0.04,Michal Škop,,2021-03-01,2021-03-29,2021-03-15,2021-03-15,0.04790978238432083
51,2021-03,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_03_v03MK.pdf,2021-03-01,2021-03-29,2021-03-30,,,,1013,ČR,Michal Škop,,2021-03-15,,model,2021-03,KSČM,model psp,0.075,Michal Škop,,2021-03-01,2021-03-29,2021-03-15,2021-03-15,0.05328830187129853
52,2021-03,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_03_v03MK.pdf,2021-03-01,2021-03-29,2021-03-30,,,,1013,ČR,Michal Škop,,2021-03-15,,model,2021-03,Trikolóra,model psp,0.03,Michal Škop,,2021-03-01,2021-03-29,2021-03-15,2021-03-15,0.02880532827958712
53,2021-03,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_03_v03MK.pdf,2021-03-01,2021-03-29,2021-03-30,,,,1013,ČR,Michal Škop,,2021-03-15,,model,2021-03,Zelení,model psp,0.02,Michal Škop,,2021-03-01,2021-03-29,2021-03-15,2021-03-15,0.01585404038467624
54,2021-03,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2550619-trendy_ceska_2021_vlna_68_volebni_model.pdf,2021-03-25,2021-04-01,2021-04-11,,ČT,,1200,ČR,Michal Škop,,2021-03-28,,model,2021-03,ANO,model psp,0.225,Michal Škop,,2021-03-25,2021-04-01,2021-03-28,2021-03-28,0.23183639132446943
55,2021-03,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2550619-trendy_ceska_2021_vlna_68_volebni_model.pdf,2021-03-25,2021-04-01,2021-04-11,,ČT,,1200,ČR,Michal Škop,,2021-03-28,,model,2021-03,ODS,model psp,0.09,Michal Škop,,2021-03-25,2021-04-01,2021-03-28,2021-03-28,0.10164058147865569
56,2021-03,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2550619-trendy_ceska_2021_vlna_68_volebni_model.pdf,2021-03-25,2021-04-01,2021-04-11,,ČT,,1200,ČR,Michal Škop,,2021-03-28,,model,2021-03,Piráti,model psp,0.2,Michal Škop,,2021-03-25,2021-04-01,2021-03-28,2021-03-28,0.1849167797513691
57,2021-03,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2550619-trendy_ceska_2021_vlna_68_volebni_model.pdf,2021-03-25,2021-04-01,2021-04-11,,ČT,,1200,ČR,Michal Škop,,2021-03-28,,model,2021-03,KSČM,model psp,0.05,Michal Škop,,2021-03-25,2021-04-01,2021-03-28,2021-03-28,0.05214764238653588
58,2021-03,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2550619-trendy_ceska_2021_vlna_68_volebni_model.pdf,2021-03-25,2021-04-01,2021-04-11,,ČT,,1200,ČR,Michal Škop,,2021-03-28,,model,2021-03,SPD,model psp,0.115,Michal Škop,,2021-03-25,2021-04-01,2021-03-28,2021-03-28,0.11393814820636068
59,2021-03,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2550619-trendy_ceska_2021_vlna_68_volebni_model.pdf,2021-03-25,2021-04-01,2021-04-11,,ČT,,1200,ČR,Michal Škop,,2021-03-28,,model,2021-03,ČSSD,model psp,0.03,Michal Škop,,2021-03-25,2021-04-01,2021-03-28,2021-03-28,0.04724548724249408
60,2021-03,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2550619-trendy_ceska_2021_vlna_68_volebni_model.pdf,2021-03-25,2021-04-01,2021-04-11,,ČT,,1200,ČR,Michal Škop,,2021-03-28,,model,2021-03,KDU-ČSL,model psp,0.04,Michal Škop,,2021-03-25,2021-04-01,2021-03-28,2021-03-28,0.039436550423659573
61,2021-03,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2550619-trendy_ceska_2021_vlna_68_volebni_model.pdf,2021-03-25,2021-04-01,2021-04-11,,ČT,,1200,ČR,Michal Škop,,2021-03-28,,model,2021-03,STAN,model psp,0.12,Michal Škop,,2021-03-25,2021-04-01,2021-03-28,2021-03-28,0.1207160479740437
62,2021-03,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2550619-trendy_ceska_2021_vlna_68_volebni_model.pdf,2021-03-25,2021-04-01,2021-04-11,,ČT,,1200,ČR,Michal Škop,,2021-03-28,,model,2021-03,TOP 09,model psp,0.065,Michal Škop,,2021-03-25,2021-04-01,2021-03-28,2021-03-28,0.0558727136124139
63,2021-03,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2550619-trendy_ceska_2021_vlna_68_volebni_model.pdf,2021-03-25,2021-04-01,2021-04-11,,ČT,,1200,ČR,Michal Škop,,2021-03-28,,model,2021-03,Přísaha,model psp,0.02,Michal Škop,,2021-03-25,2021-04-01,2021-03-28,2021-03-28,0.03250330848896015
